id_pemesanan,id_pelanggan,id_gudang,tanggal_pemesanan,tanggal_pengiriman
789,3731,8118,1/1/19,1/4/19
790,3486,8118,1/1/19,1/4/19
791,2623,8118,1/1/19,1/4/19
792,9869,8118,1/1/19,1/4/19
793,6866,8118,1/1/19,1/4/19
794,8055,8118,1/1/19,1/4/19
795,1152,8118,1/1/19,1/4/19
796,5765,8118,1/1/19,1/4/19
797,6709,8118,1/1/19,1/4/19
798,4866,2666,1/1/19,1/4/19
799,4515,2666,1/1/19,1/4/19
800,9618,2666,1/1/19,1/4/19
801,2337,2666,1/1/19,1/4/19
802,1166,2666,1/1/19,1/4/19
803,4376,2666,1/1/19,1/4/19
804,9832,2666,1/1/19,1/4/19
805,6046,9080,1/1/19,1/4/19
806,6046,1543,1/1/19,1/4/19
807,3710,6509,1/1/19,1/4/19
808,7025,6509,1/1/19,1/4/19
809,7834,6509,1/1/19,1/4/19
810,3260,6509,1/1/19,1/4/19
811,8952,6509,1/1/19,1/4/19
812,3715,6509,1/1/19,1/4/19
813,6894,6509,1/1/19,1/4/19
814,1258,6509,1/1/19,1/4/19
815,9303,6509,1/1/19,1/4/19
816,6884,6509,1/1/19,1/4/19
817,8149,4338,1/1/19,1/4/19
818,7707,8118,1/2/19,1/5/19
819,4294,8118,1/2/19,1/5/19
820,5035,8118,1/2/19,1/5/19
821,9273,8118,1/2/19,1/5/19
822,2622,8118,1/2/19,1/5/19
823,7469,8118,1/2/19,1/5/19
824,3972,2666,1/2/19,1/5/19
825,5362,2666,1/2/19,1/5/19
826,1921,2666,1/2/19,1/5/19
827,6263,2666,1/2/19,1/5/19
828,8095,2666,1/2/19,1/5/19
829,5608,2666,1/2/19,1/5/19
830,9743,9080,1/2/19,1/5/19
831,8834,6509,1/2/19,1/5/19
832,3679,6509,1/2/19,1/5/19
833,9682,6509,1/2/19,1/5/19
834,7846,6509,1/2/19,1/5/19
835,2936,6509,1/2/19,1/5/19
836,7461,8118,1/3/19,1/6/19
837,4934,8118,1/3/19,1/6/19
838,2497,8118,1/3/19,1/6/19
839,6789,8118,1/3/19,1/6/19
840,5394,8118,1/3/19,1/6/19
841,1078,8118,1/3/19,1/6/19
842,9727,8118,1/3/19,1/6/19
843,3872,8118,1/3/19,1/6/19
